-4.52484	0.025
-4.52422	0.075
-4.52297	0.125
-4.52109	0.175
-4.51859	0.225
-4.51547	0.275
-4.51172	0.325
-4.50734	0.375
-4.50234	0.425
-4.49672	0.475
-4.49047	0.525
-4.48359	0.575
-4.47609	0.625
-4.46797	0.675
-4.45922	0.725
-4.44984	0.775
-4.43984	0.825
-4.42922	0.875
-4.41797	0.925
-4.40609	0.975
-4.39359	1.025
-4.38047	1.075
-4.36672	1.125
-4.35234	1.175
-4.33734	1.225
-4.32172	1.275
-4.30547	1.325
-4.28859	1.375
-4.27109	1.425
-4.25297	1.475
-4.23422	1.525
-4.21484	1.575
-4.19484	1.625
-4.17422	1.675
-4.15297	1.725
-4.13109	1.775
-4.10859	1.825
-4.08547	1.875
-4.06172	1.925
-4.03734	1.975
-4.01234	2.025
-3.98672	2.075
-3.96047	2.125
-3.93359	2.175
-3.90609	2.225
-3.87797	2.275
-3.84922	2.325
-3.81984	2.375
-3.78984	2.425
-3.75922	2.475
-3.72797	2.525
-3.69609	2.575
-3.66359	2.625
-3.63047	2.675
-3.59672	2.725
-3.56234	2.775
-3.52734	2.825
-3.49172	2.875
-3.45547	2.925
-3.41859	2.975
-3.38109	3.025
-3.34297	3.075
-3.30422	3.125
-3.26484	3.175
-3.22484	3.225
-3.18422	3.275
-3.14297	3.325
-3.10109	3.375
-3.05859	3.425
-3.01547	3.475
-2.97172	3.525
-2.92734	3.575
-2.88234	3.625
-2.83672	3.675
-2.79047	3.725
-2.74359	3.775
-2.69609	3.825
-2.64797	3.875
-2.59922	3.925
-2.54984	3.975
-2.49984	4.025
-2.44922	4.075
-2.39797	4.125
-2.34609	4.175
-2.29359	4.225
-2.24047	4.275
-2.18672	4.325
-2.13234	4.375
-2.07734	4.425
-2.02172	4.475
-1.96547	4.525
-1.90859	4.575
-1.85109	4.625
-1.79297	4.675
-1.73422	4.725
-1.67484	4.775
-1.61484	4.825
-1.55422	4.875
-1.49297	4.925
-1.43109	4.975
-1.36859	5.025
-1.30547	5.075
-1.24172	5.125
-1.17734	5.175
-1.11234	5.225
-1.04672	5.275
-0.980469	5.325
-0.913594	5.375
-0.846094	5.425
-0.777969	5.475
-0.709219	5.525
-0.639844	5.575
-0.569844	5.625
-0.499219	5.675
-0.427969	5.725
-0.356094	5.775
-0.283594	5.825
-0.210469	5.875
-0.136719	5.925
-0.0623437	5.975
0	5.9625
0.049375	5.8875
0.098125	5.8125
0.14625	5.7375
0.19375	5.6625
0.240625	5.5875
0.286875	5.5125
0.3325	5.4375
0.3775	5.3625
0.421875	5.2875
0.465625	5.2125
0.50875	5.1375
0.55125	5.0625
0.593125	4.9875
0.634375	4.9125
0.675	4.8375
0.715	4.7625
0.754375	4.6875
0.793125	4.6125
0.83125	4.5375
0.86875	4.4625
0.905625	4.3875
0.941875	4.3125
0.9775	4.2375
1.0125	4.1625
1.04688	4.0875
1.08062	4.0125
1.11375	3.9375
1.14625	3.8625
1.17813	3.7875
1.20938	3.7125
1.24	3.6375
1.27	3.5625
1.29937	3.4875
1.32812	3.4125
1.35625	3.3375
1.38375	3.2625
1.41063	3.1875
1.43688	3.1125
1.4625	3.0375
1.4875	2.9625
1.51188	2.8875
1.53563	2.8125
1.55875	2.7375
1.58125	2.6625
1.60312	2.5875
1.62438	2.5125
1.645	2.4375
1.665	2.3625
1.68437	2.2875
1.70313	2.2125
1.72125	2.1375
1.73875	2.0625
1.75562	1.9875
1.77188	1.9125
1.7875	1.8375
1.8025	1.7625
1.81688	1.6875
1.83062	1.6125
1.84375	1.5375
1.85625	1.4625
1.86812	1.3875
1.87938	1.3125
1.89	1.2375
1.9	1.1625
1.90938	1.0875
1.91813	1.0125
1.92625	0.9375
1.93375	0.8625
1.94063	0.7875
1.94687	0.7125
1.9525	0.6375
1.9575	0.5625
1.96187	0.4875
1.96562	0.4125
1.96875	0.3375
1.97125	0.2625
1.97313	0.1875
1.97437	0.1125
1.975	0.0375
1.975	-0.0375
1.97437	-0.1125
1.97313	-0.1875
1.97125	-0.2625
1.96875	-0.3375
1.96562	-0.4125
1.96187	-0.4875
1.9575	-0.5625
1.9525	-0.6375
1.94687	-0.7125
1.94063	-0.7875
1.93375	-0.8625
1.92625	-0.9375
1.91813	-1.0125
1.90938	-1.0875
1.9	-1.1625
1.89	-1.2375
1.87938	-1.3125
1.86812	-1.3875
1.85625	-1.4625
1.84375	-1.5375
1.83062	-1.6125
1.81688	-1.6875
1.8025	-1.7625
1.7875	-1.8375
1.77188	-1.9125
1.75562	-1.9875
1.73875	-2.0625
1.72125	-2.1375
1.70313	-2.2125
1.68437	-2.2875
1.665	-2.3625
1.645	-2.4375
1.62438	-2.5125
1.60312	-2.5875
1.58125	-2.6625
1.55875	-2.7375
1.53563	-2.8125
1.51188	-2.8875
1.4875	-2.9625
1.4625	-3.0375
1.43688	-3.1125
1.41063	-3.1875
1.38375	-3.2625
1.35625	-3.3375
1.32812	-3.4125
1.29937	-3.4875
1.27	-3.5625
1.24	-3.6375
1.20938	-3.7125
1.17813	-3.7875
1.14625	-3.8625
1.11375	-3.9375
1.08062	-4.0125
1.04688	-4.0875
1.0125	-4.1625
0.9775	-4.2375
0.941875	-4.3125
0.905625	-4.3875
0.86875	-4.4625
0.83125	-4.5375
0.793125	-4.6125
0.754375	-4.6875
0.715	-4.7625
0.675	-4.8375
0.634375	-4.9125
0.593125	-4.9875
0.55125	-5.0625
0.50875	-5.1375
0.465625	-5.2125
0.421875	-5.2875
0.3775	-5.3625
0.3325	-5.4375
0.286875	-5.5125
